head_neck_x,head_neck_y
1185.11025390625,1187.5691650390625
1185.113505045573,1187.311299641927
1185.0611921037946,1187.2049560546875
1185.1129455566406,1187.2046661376953
1185.2007921006943,1187.3272162543403
1185.211474609375,1187.4238037109376
1185.6153076171875,1187.5442260742188
1185.6469604492188,1187.698583984375
1185.5182250976563,1188.057470703125
1185.400390625,1188.6967163085938
1185.1428588867188,1189.075830078125
1184.946630859375,1189.387890625
1184.832568359375,1189.5782470703125
1184.6613037109375,1189.5768920898438
1184.5918579101562,1189.4504760742188
1184.5072631835938,1189.2990966796874
1184.4194946289062,1188.9613159179687
1184.4533447265626,1188.691162109375
1184.45634765625,1188.462841796875
1184.486767578125,1188.0911865234375
1184.6119262695313,1188.0421264648437
1184.781787109375,1188.0825927734375
1184.88818359375,1188.2551025390626
1184.9453735351562,1188.5451538085938
1184.8320922851562,1188.7695556640624
1184.795263671875,1188.97578125
1184.7482177734375,1189.1549682617188
1184.65966796875,1189.283349609375
1184.615380859375,1189.3650756835937
1184.53330078125,1189.3522705078126
1184.4673950195313,1189.327783203125
1184.5155395507813,1189.3153930664062
1184.5338256835937,1189.2481689453125
1184.59619140625,1189.1537231445313
1184.632275390625,1189.0875366210937
1184.6031005859375,1189.0194091796875
1184.4397827148437,1188.8634521484375
1184.2199584960938,1188.7868041992188
1183.8453979492188,1188.7644775390625
1183.0767944335937,1188.8866088867187
1182.3553833007813,1188.941015625
1181.9304809570312,1188.8815551757812
1181.576171875,1188.7798950195313
1181.3602172851563,1188.6738525390624
1181.2512573242188,1188.6053344726563
1181.1345092773438,1188.557177734375
1181.1068969726562,1188.5538208007813
1181.0515014648438,1188.47734375
1181.1802734375,1188.3614135742187
1181.7895263671876,1188.2342163085937
1182.3814331054687,1188.230126953125
1182.6599975585937,1188.3327514648438
1182.898046875,1188.4636840820312
1183.0728515625,1188.5917846679688
1183.19912109375,1188.7038696289062
1183.4474609375,1188.8524658203125
1183.6496337890626,1189.0179931640625
1183.8175048828125,1189.1946533203125
1184.0069946289063,1189.2603149414062
1184.0637573242188,1189.2212524414062
1184.1558471679687,1189.1407104492187
1184.1934448242187,1188.9980712890624
1184.1718383789062,1188.8691772460938
1184.1031860351563,1188.7661376953124
1184.0416015625,1188.71337890625
1183.9375366210938,1188.6709838867187
1183.83330078125,1188.60556640625
1183.7422119140624,1188.4080688476563
1183.2390747070312,1188.2791748046875
1183.0406372070313,1188.1576171875
1182.8131469726563,1188.0288696289062
1182.67705078125,1187.9286376953125
1182.633251953125,1187.8352416992188
1182.6298095703125,1187.7531860351562
1182.620751953125,1187.7496826171875
1182.6132446289062,1187.7357543945313
1182.6354370117188,1187.7470703125
1182.7416015625,1187.7811645507813
1183.1182373046875,1187.828173828125
1183.257861328125,1187.7991821289063
1183.3463256835937,1187.8185180664063
1183.2762939453125,1187.8479370117188
1183.29921875,1187.783984375
1183.215673828125,1187.7827514648438
1183.104443359375,1187.6715209960937
1183.0368896484374,1187.5617431640626
1183.0620971679687,1187.4933837890626
1183.01708984375,1187.461962890625
1182.9982177734375,1187.3364135742188
1182.6844970703125,1187.30009765625
1182.6196411132812,1187.2283813476563
1182.6515991210938,1187.1647705078126
1182.6197875976563,1187.1651245117187
1182.5786499023438,1187.1317260742187
1182.6262329101562,1187.1358520507813
1182.7980590820312,1187.120751953125
1182.8420043945312,1187.1163940429688
1182.9597534179688,1187.2498779296875
1183.173095703125,1187.4343017578126
1183.63056640625,1187.57958984375
1183.8531616210937,1187.6304443359375
1183.9763305664062,1187.6671997070312
1184.0309448242188,1187.7234985351563
1184.1835693359376,1187.72177734375
1184.2703857421875,1187.7223266601563
1184.1935424804688,1187.693798828125
1184.1900390625,1187.687548828125
1184.172998046875,1187.5963012695313
1184.1226196289062,1187.4953979492188
1184.063134765625,1187.4085205078125
1183.9911743164062,1187.3080200195313
1184.0009643554688,1187.152294921875
1183.9890991210937,1186.9986694335937
1183.9616943359374,1186.8950439453124
1183.8994384765624,1186.8046875
1183.8217651367188,1186.8119995117188
1183.9080688476563,1186.7781494140625
1183.9681396484375,1186.7547241210937
1184.0101196289063,1186.753271484375
1184.0786865234375,1186.6916259765626
1184.1415283203125,1186.727197265625
1184.2473754882812,1186.8766723632812
1184.4214477539062,1186.9999389648438
1184.4963989257812,1187.10712890625
1184.6799438476562,1187.1861206054687
1184.8039184570312,1187.17685546875
1184.7514282226562,1187.1601928710938
1184.7005615234375,1187.1277954101563
1184.600927734375,1187.0888061523438
